gauss1 gauss2 repulsion hydrophobic hydrogen
36.90022 506.33907 0.74188 25.85818 1
39.77724 562.18302 6.07164 0 6.8152
86.16957 1224.14759 2.84806 36.29733 3.72029
103.13744 1161.38972 8.2529 0 7.14666
83.74583 1228.52152 2.74642 37.78466 4.28866
54.57103 748.84317 1.01963 41.17163 0.39042
58.11689 727.05137 3.18913 0 6.64857
29.36297 424.44455 3.74084 21.4891 4.46399
17.66156 479.33364 0.4393 20.33451 0
52.74407 609.22867 0.81619 18.44185 0.99891
80.49325 1208.00682 4.42454 9.08069 7.16401
53.19398 715.80551 4.83544 0 6.2582
76.18626 897.12687 6.20816 1.87532 8.6484
56.9577 634.24256 5.08497 0 7.40497
62.95149 827.4794 4.20178 0 8.70995
74.48372 662.32311 4.03117 0 2.38448
69.22728 950.26649 3.97838 9.82256 4.20759
38.23725 536.08586 1.87151 3.70846 2.97162
45.75883 511.55792 2.20593 0 4.19103
41.36398 854.49715 1.04962 47.78153 1.60144
110.07928 1478.47659 7.89882 3.62734 11.56406
113.28049 1304.97424 5.5958 0 6.39704
46.20263 795.6192 3.52111 0 2.21089
32.96407 663.10857 1.36505 22.11466 0
109.94967 2241.19863 1.48907 77.19162 0.50633
138.23258 1697.80474 4.86119 37.56007 5.30452
71.12422 1062.09021 1.9874 0 3.14217
45.93787 957.16891 1.75953 2.40426 2.79974
82.71699 1023.59801 14.1028 0.77592 13.03942
59.78491 599.15437 2.50864 0 5.23171
29.27184 426.66604 2.38939 5.67685 0.6983
36.70597 533.21928 3.37859 0 5.46407
64.09128 516.86983 4.23994 0 7.46776
46.36936 696.19215 3.12648 18.56534 1.97893
49.14739 501.13564 1.5842 19.32071 0.7895
60.8504 930.52181 2.71107 0.68107 5.57261
66.11895 908.08774 4.594 0 7.29402
27.44291 535.3922 0.45445 3.65473 1.50001
76.01389 723.12799 5.8612 5.59996 6.75731
49.05483 488.32079 2.90563 0 4.78298
46.69043 697.80913 3.53667 0 5.60211
58.92008 580.17316 2.64801 0 5.38104
39.96131 456.22686 1.17382 0 1
31.62212 761.84152 1.84115 13.48126 1.42242
65.82751 599.07344 1.16851 8.48795 2.63194
60.05864 932.68705 3.9315 8.38359 6.38584
86.71473 1070.98425 3.42659 16.33125 5.00947
40.41151 562.53319 0.77808 60.08543 0
74.64571 1068.8209 6.88857 2.42635 10.40675
78.69284 863.85693 7.84384 0 11.67815
74.99902 852.98179 7.5487 0 10.89339
51.33741 765.64839 2.37023 15.92292 3.61775
71.24977 1156.22197 3.761 20.41339 3.90143
45.13267 918.02992 2.34602 2.33361 3.19581
34.76907 420.80622 3.71876 0 5.10558
72.08959 588.0809 4.62616 20.74064 6.50176
61.67729 567.88491 3.30254 0 6.37863
83.93214 1018.81232 9.65141 0 13.6624
26.11604 515.95943 1.41103 16.3906 2
47.02267 679.66647 0.70781 44.50977 0
65.0539 707.00273 3.6751 7.59614 3.50627
53.75869 681.26918 5.66014 9.30654 4.6479
83.61417 1443.42027 4.21672 36.80149 6.17165
50.39785 772.90855 3.03025 3.42673 5.15141
85.65184 1293.43282 8.25198 12.04598 11.42982
60.0555 532.97565 4.56598 11.4831 1
78.70664 921.12613 5.43403 0 7.70145
48.59029 746.00452 1.82875 15.90974 2.97872
39.56022 457.20448 3.06657 3.36152 0
43.53689 588.99574 1.61246 23.58989 3.40242
32.66717 768.11522 0.50476 34.58083 0
179.77031 2338.75735 10.26187 15.02634 14.84081
31.54731 600.87261 0.7004 26.32825 1.50728
46.25227 957.56725 2.15195 2.10152 3.26438
87.41869 1458.68128 7.06567 5.2161 11.75041
57.40311 1284.0679 2.54834 6.81143 5.34047
44.57003 644.13527 2.68918 0 5.00923
89.29264 1218.96507 4.1659 0 4.14262
106.75489 1297.78134 4.9542 12.9078 4.63941
80.9792 866.62159 7.7136 0 10.63241
32.61975 303.28409 5.81528 0 0.59527
117.8049 2089.19535 6.11446 7.3865 9.84317
59.00116 773.28111 2.6372 37.04195 4.49672
65.93449 940.58297 5.61909 6.33196 3.54722
29.03297 573.03886 2.29943 0 3.98327
81.41689 722.70152 2.41107 5.7962 2.70227
80.33851 885.22313 1.59935 18.79255 0.68423
94.18373 500.21114 2.12022 19.58136 0
55.3248 923.22067 3.26058 7.69021 5.03833
89.98874 1326.52721 4.01366 27.04211 5.69105
58.2712 725.38229 4.21339 0 6.02345
58.74747 742.07637 1.73955 20.90397 0.83862
61.27446 589.07027 2.57882 3.66414 4.35727
143.42582 1677.91826 5.52173 0 8.82032
56.22443 715.2061 2.40742 0 5.16099
43.25427 766.70377 1.93222 34.99736 1.7429
107.09691 1636.58481 4.41776 1.43216 5.99406
100.29666 1171.20582 10.08779 7.06076 9.80784
119.49958 1679.42981 7.66643 21.46909 7.7812
69.15277 1397.31777 4.79113 0 5.00748
28.42341 323.88414 0.77332 20.33966 0.79264
46.33057 774.6366 11.08113 0 4.45683
60.42922 661.27795 4.4061 0 8.70326
51.88856 767.61192 2.8962 19.97983 5.5666
152.4748 1628.59056 8.64992 2.635 8.05429
26.45861 486.10188 2.41717 19.25053 0
68.05069 1012.37463 3.15318 10.3196 3.47524
34.34241 521.36338 2.66737 7.57935 1.4464
39.98138 731.59674 4.42395 3.31795 6.713
51.16276 1077.85604 1.57419 37.73115 0
71.61065 909.29057 1.80047 35.36026 1.2258
60.48658 636.19839 4.95239 11.00952 4.13151
35.20485 488.85839 0.23014 51.33803 0
31.12225 607.47761 0.37027 53.36491 0
83.13223 1371.13003 7.85051 0 7.18665
70.16792 809.57386 2.68078 21.70448 1.64705
59.40935 700.18246 4.10218 4.05221 2.6822
82.99359 1085.73443 2.01555 30.50285 0.09765
46.68054 483.70183 4.66899 18.78365 4.36371
39.17925 422.26268 4.07373 7.84692 5.06485
45.65537 896.35547 1.91634 47.4375 0
42.89773 560.44007 0.22783 32.10704 0
48.01799 686.72979 6.4702 13.49007 5.58755
57.2748 722.31994 2.11158 3.55224 3.13862
44.94156 665.5662 5.23854 4.06168 5.24949
67.12872 1185.53972 2.77811 57.49984 1.39219
28.06367 622.45746 0.86467 55.7749 0
47.47701 584.58184 1.65077 3.64377 2.93693
59.24457 586.99092 2.46347 5.52262 4.45898
40.70577 819.45157 1.61491 3.31405 2.00996
52.24757 712.66265 3.17136 4.31189 4.61679
46.85739 582.79045 1.04647 25.26236 1.3909
88.14461 1330.3654 14.15589 1.81383 5.25645
57.526 783.79501 2.54858 2.06899 4.66208
91.62591 1436.26108 8.19181 5.55966 11.36607
57.44556 778.79329 2.95222 35.57122 4.5656
78.30769 1363.67242 5.75184 0 6.91946
157.37279 2054.12303 12.45489 0 11.83416
76.50846 1437.66154 2.0539 54.49755 0.97212
30.67449 467.06415 0.43039 49.95882 0
142.01927 1931.32215 9.82904 0 15.31113
67.46717 744.93927 4.49231 6.76165 7.12441
33.99104 425.09829 1.0546 63.02976 0
29.84521 464.46416 0.35584 43.79804 0
66.53038 892.43178 7.89323 0 11.22705
38.06301 805.51504 1.59127 4.65386 1.98851
107.12171 1197.41356 4.6265 23.34249 3.08188
65.3996 733.64007 2.69956 4.90906 2.77732
55.9622 586.04575 5.37532 0 6.6768
82.72223 966.79134 3.45187 13.4329 3.5335
72.26477 1046.53518 3.3851 8.97053 6.84733
34.366 468.90727 2.14589 9.3305 4.39534
79.71018 1269.79549 3.01334 0 3.72084
92.32075 1469.45099 2.66044 2.27366 3.25312
106.03438 1290.00904 4.55558 0 3.89687
95.0903 1272.26634 6.42983 8.41654 9.68381
65.00907 1163.85569 6.12733 0 10.48604
72.18164 1001.61665 9.3586 28.88203 5.41586
141.00958 1762.29544 7.38948 0 9.16022
58.16921 1080.52876 3.1398 31.66377 3.14961
64.11584 903.38405 3.91411 3.05566 3.94005
50.98519 700.21246 2.11146 9.70894 4.53414
89.22123 1438.35491 6.78218 5.59969 11.31751
117.64611 1796.48561 6.55566 5.63466 8.40572
69.86844 869.82568 4.17857 15.72846 2.20351
45.48173 589.78801 1.98005 5.49548 3.1496
59.24109 795.77812 2.55084 0 4.84417
45.9975 543.35633 1.91638 4.51275 3.09758
41.00621 423.79876 3.63265 8.08167 6.45886
33.91886 483.64242 1.16999 11.54905 0
75.29369 1165.11532 3.7103 3.39753 6.36953
74.2097 1056.64141 5.07312 2.34113 9.3939
46.72233 535.5607 1.50175 0 0.69123
47.59947 608.38966 4.12876 0 5.17859
84.15485 1163.81118 6.1697 10.56521 10.17169
119.835 1790.9833 7.3196 0 9.52745
48.60521 839.59126 3.61419 0 4.17627
123.08553 1601.62351 6.75879 19.35224 9.87141
46.66703 687.35677 0.97171 51.44188 0
96.53264 1598.04218 3.4057 38.18447 4.14727
78.60421 1057.03781 4.11422 5.30887 6.21906
75.6167 1201.24804 4.79717 42.42452 4.59333
66.98016 1022.32253 5.68212 8.8526 7.71621
63.13248 1155.51897 8.09846 23.36337 6.96339
86.74376 1055.22361 3.04846 44.29399 1.92472
90.21897 804.01106 5.37345 15.4606 4.01291
46.28557 754.85146 4.01834 5.19108 6.37779
60.21226 759.6715 1.91527 2.60194 3.05458
64.65739 646.59085 7.72392 3.67626 11.13937
74.8728 604.65388 3.44851 0 1.53303
78.87489 1301.60993 5.92934 0 4.99756
52.20153 650.93739 3.93691 0 7.42343
31.78426 304.43602 1.76978 0 0.92035
82.87773 1590.13238 17.01806 1.56764 11.00568
42.74441 997.91035 1.22414 0 1.29927
48.36069 752.15811 0.94553 15.09491 1.1035
62.96962 838.94679 4.52044 1.54482 7.85506
44.44691 710.19963 7.28448 3.38778 6.28828
42.23546 682.03805 4.38467 35.31634 4.52787
35.55992 654.43435 4.59799 4.80025 4.07906
67.61936 835.87618 6.37842 2 8.45107
77.09014 1151.92706 1.61029 33.46419 3.52749
139.80552 2540.04961 8.19162 6.66787 13.11222
101.91187 1104.21091 2.76885 41.66668 1.52151
67.65727 495.79034 5.19188 0 6.79581
71.97967 833.4698 2.8498 15.46161 3.92682
75.90529 646.06098 3.42286 45.44981 2.69559
76.46079 974.03034 3.35084 19.70032 4.21896
38.2272 495.78098 4.54845 0 6.6035
64.28328 895.10088 4.29356 11.96819 7.83292
59.68002 632.60999 1.9125 18.80872 0
108.00715 1267.31805 6.36517 0 8.67297
40.07437 741.85864 1.55101 28.56699 1.97028
56.13595 764.4431 4.62046 0 8.47957
57.20589 882.84505 9.21197 33.04699 4.48599
69.24324 879.17711 7.17756 0 7.61706
69.82695 633.47313 3.0797 0 2.83293
109.32112 1829.13316 6.58058 0 7.15213
72.33478 732.05877 4.09636 1.01992 2.41908
76.74445 1616.68956 2.7635 7.00603 5.05131
103.61529 1698.39983 3.46457 20.96264 3.07024
72.2012 1189.80519 1.77391 15.37559 1.76743
65.19571 961.0714 9.30445 20.25151 8.3214
75.41594 814.97912 3.93851 23.38868 6.34735
64.58881 928.38853 5.85288 5.08621 7.7227
79.16193 1153.91515 9.2067 5.79641 3.72254
40.47423 820.73459 1.97999 2.12909 3.09351
50.4562 609.25487 3.70929 1.55776 6.03616
111.29264 1577.89668 3.46569 0 6.11407
120.58772 1574.02916 3.06259 0 4.98432
36.33972 493.07349 2.99956 0 4.74338
80.14065 942.48731 6.58612 41.78863 6.65551
85.86519 1058.61392 4.18751 25.66836 3.57572
62.64246 646.78249 2.50767 5.96364 3.78311
40.19623 831.32657 2.98634 25.46208 4.01173
85.23682 874.98249 2.52326 0 3.21858
64.01032 672.23202 5.32401 3.16428 6.63648
50.99793 802.94178 3.26797 5.13336 4.17614
57.47695 833.52757 2.23207 34.20438 1.46651
43.65698 724.40404 3.94237 3.46014 9.22725
123.9114 1953.64624 7.11664 8.74482 11.34405
116.96587 1461.32492 13.27551 0 12.36473
112.67115 1764.20508 3.91126 0 6.1789
40.25978 580.02583 6.76175 6.62089 5.11829
68.18962 703.63549 4.51251 0 5.64337
88.76689 1380.03255 2.46771 35.4282 3.42265
50.6531 618.71749 2.10675 2.43144 3.72875
80.7525 1360.61204 5.83637 50.7035 3.58568
112.15644 1631.16618 4.47843 7.43493 7.12534
41.37392 818.8014 2.37485 2.23113 3.3064
70.93482 865.48358 7.16445 8.33777 7.95463
40.55705 836.89768 1.77623 2.17034 2.81791
125.13852 1517.37263 4.49209 37.87804 4.8214
57.95552 544.20993 4.87749 0 7.22921
51.30475 655.01295 3.21849 0 5.55805
89.07798 1043.18899 2.31695 14.56444 0.98639
62.83629 742.10866 3.92923 0 6.34902
125.3482 1501.69814 5.16493 38.64432 5.93509
28.39795 472.05261 1.27508 22.70462 0.54361
78.47811 1104.52489 6.77442 1 9.96087
80.41418 896.81417 8.19567 0 8.30151
80.28074 1064.26124 3.51724 25.92991 4.13082
104.54728 1524.35936 3.91531 45.61636 2.47867
60.79629 857.23666 9.22536 6.69172 3.94855
131.56831 2133.30772 3.02409 84.00512 2.39173
85.73228 1429.06697 3.82215 14.73033 6.84274
56.0109 677.68365 2.00365 4 2.70901
88.41184 1096.80796 3.20936 35.88733 3.96129
65.09496 601.55786 2.00826 6.82375 3.43258
46.76987 528.70982 1.46867 4.16806 2.68698
74.5577 1093.14965 4.72715 0 1.37526
64.19392 873.68479 4.27971 0 7.35038
81.94985 1146.09493 2.42643 17.09493 4.37113
79.33692 893.25779 7.2063 0 7.27318
76.01347 891.59915 4.28758 38.39235 1.45439
44.23751 1017.71787 0.45256 62.92086 0
68.02663 928.03984 1.65664 23.85004 0.99363
85.89389 1242.8825 3.46227 22.10014 2.54148
145.27893 1554.1056 7.24917 26.73239 9.41558
88.17679 1590.86331 4.85259 16.99851 6.36638
78.41404 742.17221 3.8139 16.568 6.23012
98.22578 1498.34744 6.86519 11.78795 11.20021
93.27315 1395.51313 1.95814 51.8307 2.28866
109.21038 1518.58402 9.67354 11.33568 11.52993
50.09822 845.13878 3.91942 28.44991 5.11333
199.58165 2559.15857 13.31335 40.25358 14.14565
125.73077 1849.47313 5.34524 33.51412 5.84046
133.31563 1790.57506 7.75116 0 12.43734
57.66097 912.18372 3.7221 14.7147 2.42975
13.3911 303.69167 1.36502 0 0
49.21786 922.3587 3.14243 27.76737 4.78568
24.99533 485.73621 1.94394 0 2.69483
86.15084 1231.55333 3.61861 17.68881 7.2841
117.0634 1291.08665 13.77812 0 11.65918
85.84215 975.90332 2.55904 38.59451 1
67.9569 833.65541 0.63459 21.83787 0.94158
79.30731 1053.39614 0.96274 24.89394 0
107.15186 1582.02596 4.54677 24.88075 5.185
129.67536 1524.37838 5.81153 41.49121 5.69655
86.12156 1100.24263 4.39389 2.21156 4.76612
167.43096 2534.15516 5.7498 20.98328 8.02883
54.99935 643.9553 3.74674 0 8.32748
36.8539 532.66048 0.90904 21.28173 1.2106
118.92003 1873.87808 6.91124 0 11.90982
56.82676 1156.33308 2.87785 4.25884 1.82882
121.08249 961.83247 7.04639 0 11.45692
144.97227 1556.28421 7.55432 26.80342 9.56611
67.56269 1267.20067 3.26684 0 6.58494
79.57113 966.52735 4.42725 15.6011 7.04522
56.63202 589.67185 5.58412 0 5.94657
110.49205 1410.77497 5.43832 13.07984 6.36611
60.00145 670.53943 2.97801 4.85172 3.96089
96.8215 1751.8137 2.40414 50.94363 3.8942
58.57988 604.41729 5.18366 0 9.23263
95.25164 1225.40254 2.08733 43.44442 3.18196
56.72961 1134.78865 4.03082 13.06125 3.74718
88.07559 975.61963 2.19981 28.98533 1.00274
145.37234 1526.88858 7.39004 26.89282 9.06527
63.15424 634.11552 4.69082 19.68637 4.44497
69.45348 827.04195 1.90553 19.59096 0
65.33367 993.34023 5.57735 2.28968 6.92421
57.0397 823.68329 3.04255 9.29081 2.90626
40.35187 565.8068 0.93751 43.71757 0.91873
100.50014 1577.36851 5.32596 0 9.64056
37.11577 621.82264 1.26895 40.36154 1
38.12926 643.87312 1.50123 39.07858 0.82228
68.95235 609.48578 3.98078 4.42504 2
93.76455 1571.30421 6.49264 0 7.54241
59.69871 759.3124 5.63654 30.45215 3.73959
80.9333 800.77511 1.62481 34.31705 0
35.33964 493.00078 4.40175 0 6.42079
86.01484 747.32202 8.33481 5.57438 1.25154
113.70005 1007.89407 6.5705 47.6121 0.85325
122.87179 1635.94155 7.19268 0 10.66519
58.38768 1035.57773 5.53803 4.70089 8.72252
49.82003 702.25895 4.22277 21.95075 0.55011
56.10236 930.23918 3.40998 10.87582 5.69236
60.22505 620.10041 2.9335 5.28937 4.58183
78.4397 998.18361 3.83733 5.37366 6.21404
179.51248 2334.28904 10.46017 37.54949 16.17759
80.1101 982.53581 4.69691 0 7.37326
103.87914 1181.29715 2.98751 18.22985 2.50061
93.1376 1206.46847 5.80008 0 8.43804
96.04458 1586.36065 2.82264 16.60985 6.4665
153.0779 2441.58691 9.00929 54.67833 8.16045
79.96584 1074.97145 8.86585 0 13.4329
20.36741 453.56519 0.29052 26.32656 0
63.60204 1011.06403 4.25841 0 6.13101
37.74325 541.02405 0.73893 43.28669 0.92882
87.27001 1080.20239 5.71522 16.57569 5.1895
57.82538 746.74796 2.7242 34.15941 4.51601
59.48321 767.64214 3.20281 20.80551 2.44614
28.7283 336.64709 2.34285 0 4.85558
72.20164 634.54677 8.35173 0 10.85954
70.17266 852.0375 4.33172 9.13719 8.04061
94.68394 1049.88754 2.28083 0 4.04769
96.96317 1452.35152 6.09717 68.04698 5.7491
66.4084 860.19835 4.12684 2 7.79005
106.94053 1339.10203 8.79994 0 13.49686
64.90996 804.29534 4.05444 6.22974 7.69095
98.90347 1027.30275 1.68735 6.14391 2.46681
43.97904 476.70301 2.01974 0 4.24652
58.44426 944.39504 3.80199 16.59584 4.80426
48.02 507.137 1.06912 38.57557 0
53.92822 923.9843 2.63376 2.44627 4.88298
134.12166 2000.19263 4.76861 40.63086 6.93974
120.6923 1834.15848 7.81296 14.01864 8.97111
131.92375 1358.07538 6.232 0 8.31175
57.87058 747.98569 2.33431 4.75899 4.39875
103.57418 1255.08269 4.02454 0 4.41544
104.25883 1478.32172 6.40371 17.92203 2.62384
33.93791 681.83393 0.46911 32.87322 0
128.06642 2020.86054 11.6582 16.43334 4.10429
73.73848 1064.22076 9.9503 0 9.21461
71.22526 1268.19011 2.47437 0 5.74551
49.78094 938.21873 2.48548 8.71274 1.3371
39.79161 805.26926 2.20247 2.15028 3.2337
53.13909 710.65711 3.50747 0 6.77091
119.42554 1939.76484 7.34048 8.10821 11.11025
49.78003 949.74908 1.35333 17.72093 1.06392
96.54852 1515.46419 5.03455 0 7.79742
108.01766 1751.02415 5.8559 27.68563 4.20271
49.85626 465.13241 1.84297 0 0
103.18797 1311.30208 5.78016 48.46183 7.24302
109.32207 1422.7076 2.39578 48.74706 2.66867
51.2331 764.87016 3.00072 66.65868 0.71951
58.0411 656.47084 4.29063 12.218 2
112.76096 1396.98234 4.06629 34.48316 4.01669
106.08889 1019.51325 2.16089 5.41818 3.10538
93.424 1231.93279 3.92696 0 5.1198
58.52228 1137.2272 3.72946 0 7.67169
56.38343 779.64686 4.42919 6.55839 4.36487
81.71378 1099.68871 5.68124 5.23737 7.45658
82.92353 848.62114 8.05595 0 10.56936
101.42799 936.55474 5.65658 15.77091 5.94382
96.80922 952.7677 5.2551 15.00487 5.82988
62.4662 724.92343 2.01633 5.39041 2.90691
87.38307 1354.80038 2.59626 52.37906 2.48557
49.27028 592.59927 2.41379 24.28796 1.843
59.5723 588.94727 2.02985 4.90508 4.06252
58.21734 883.79568 5.50164 0 9.91548
157.46811 2349.02711 5.95382 51.02959 9.14615
72.73847 630.10839 7.29475 0 10.46307
83.32303 937.16951 2.57225 43.04579 2
61.14782 887.84511 3.55737 0 4.27429
65.94386 835.83718 11.48652 55.4573 0
96.05453 1369.88916 2.10846 48.91198 2.51717
71.39651 776.23104 3.1125 4.86158 4.47392
88.45741 1001.5487 7.95993 21.69491 7.65129
78.51656 1048.32151 6.23298 20.494 5.7855
43.59887 887.72072 1.02451 1.8809 2.29222
59.95029 1295.24633 4.82154 3.95665 7.55133
58.03855 949.0709 3.85282 2.54501 4.44465
114.33646 1495.80826 2.82084 54.08927 2.58869
103.36451 1254.04104 4.21929 0 5.11499
119.95785 1251.71392 7.41472 0 10.6973
43.56943 944.48763 3.47298 8.47008 5.46175
55.98289 591.18446 5.39427 0 6.65935
71.84897 993.43647 5.90489 3.40327 6.77939
53.07519 847.83679 6.26699 4.96548 8.55558
82.50952 1598.17979 5.10854 0 4.64032
42.39151 871.58452 0.67221 34.69182 0
53.42355 892.75424 0.84611 88.09216 0
59.63662 776.6594 4.19325 0 6.79094
67.82238 902.37504 5.62545 10.88704 6.89508
24.43918 957.80435 0.12146 23.82876 0
66.12575 880.52266 4.43378 0 10.69132
51.56613 718.97338 0.65365 34.73986 1.7803
35.00683 609.1808 0.90271 35.6668 0.98685
88.75517 976.31701 3.44925 0 4.52449
94.73243 1402.28011 2.50987 49.82575 2.16251
52.82674 917.04739 6.9025 2.44697 5.31667
54.15365 566.93203 4.42404 0 7.82859
136.74286 2269.19787 8.9008 0 11.05606
107.41683 1207.22446 3.22121 50.32337 3.92989
45.3036 1161.51324 1.37008 48.53847 1.46784
86.1794 1148.63279 4.45615 32.41559 3.50882
58.91678 593.18263 1.70529 6.0295 3.16067
81.64571 1360.55951 3.87433 45.80903 1.79189
78.56952 1495.40073 7.06418 0 8.09644
49.99097 590.99136 7.24418 0 6.17825
70.73605 791.15889 3.90614 0 5.34665
94.31867 1522.41977 5.22233 45.95659 5.29564
75.12805 1771.46658 1.71411 120.06236 2.90737
54.09962 627.71801 4.89348 0 7.4137
132.13749 1811.76559 5.57464 35.38705 6.90797
55.28367 924.49421 3.40364 9.42554 6.02179
127.5507 1891.45515 7.15724 9.20814 10.49816
24.91557 752.57389 2.79698 0 0.2865
52.63915 610.11438 3.39272 0 6.83779
59.62505 621.96007 2.44769 19.79757 2.51401
73.54608 1042.48185 3.09012 16.89301 4.80522
112.25098 1435.7108 2.29527 19.23276 4.26614
72.93909 1172.30604 1.82202 18.41905 0.0705
113.35592 1290.46458 5.49312 0 5.65603
55.35758 876.73754 3.65163 1.86845 5.98792
162.55422 1689.41141 12.23625 27.98536 13.49721
129.34064 1769.06523 5.90283 14.58674 5.2829
93.39723 846.8602 4.31742 20.48886 5.16196
43.52249 1217.66698 2.39961 39.80626 1
90.35698 906.00981 3.99429 0 4.84002
42.10775 659.56578 0.20052 6.91092 0
70.18368 1056.20985 4.11032 12.71007 6.2599
41.40446 629.72381 1.33879 16.63905 0.49384
53.1277 920.0762 4.08059 0 6.20041
104.44896 1178.84427 2.98544 57.6917 4.28684
24.88932 472.25588 3.07571 0.19764 0.61652
102.82325 1483.60935 3.94085 25.56987 5.4887
149.05577 1387.83002 2.77632 59.24683 2.11063
58.36293 946.77743 0.83691 33.81808 0.6967
51.93116 922.51379 1.00999 12.22163 0.79483
109.11411 1402.39462 3.95679 42.05287 5.88336
44.51415 727.88783 1.03366 8.00538 1
37.18101 569.89529 2.1997 7.80128 2.87117
162.28656 2579.31409 6.61201 72.05739 10.08418
64.20028 695.40666 2.44508 27.62165 1.77549
57.86528 824.11256 4.30119 2.57219 5.18114
83.10486 1016.20279 5.29446 11.79924 5.28791
65.09955 766.27301 8.04606 0 9.43306
88.39743 946.27938 2.25945 21.13116 2.8013
63.23471 725.6141 2.17426 6.54956 2.91281
139.35232 2002.45472 8.15586 0 10.74735
80.3423 1240.31558 6.96432 44.82576 6.9919
140.53303 1509.36886 5.74464 27.00413 7.32868
49.24656 954.59743 1.50333 29.08659 0
45.58028 954.03225 3.15537 25.99572 5.09137
63.73075 802.63189 2.00429 38.89983 3.30533
71.82634 671.791 3.46619 37.77228 2.38024
39.19158 602.48805 2.99407 7.08245 0.99359
103.85511 1277.63268 7.12286 31.5195 9.35754
55.82244 1040.38147 3.47702 2 4.53404
